gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IL15RA	-2.239547432	-0.033727674	-18.95283109	6.33E-65	7.90E-63	137.0305806
MAPKAPK2	-1.828856246	0.48386912	-18.94585177	6.91E-65	8.57E-63	136.9435356
C1QA	-4.053068177	-0.608771867	-18.94399031	7.07E-65	8.72E-63	136.9203215
PTBP1	-1.22583526	0.319927026	-18.9424892	7.20E-65	8.83E-63	136.9016018
SIPA1	-1.897353498	0.265254969	-18.93874317	7.55E-65	9.19E-63	136.8548888
TNFRSF1B	-1.409382444	-0.208797654	-18.92278805	9.22E-65	1.12E-62	136.6559609
C20orf141	-1.466012003	0.310045555	-18.92106061	9.42E-65	1.13E-62	136.6344264
SCOC	1.331345377	-0.243841582	18.91851995	9.73E-65	1.16E-62	136.6027555
OLFM1	2.144317383	0.14584913	18.895451	1.30E-64	1.54E-62	136.3152478
SSTR1	1.265244832	-0.805625336	18.8746008	1.69E-64	1.99E-62	136.055489
C21orf62	-2.541072759	-0.778435808	-18.86527589	1.90E-64	2.23E-62	135.9393458
MXI1	-0.999264788	0.231133303	-18.85680523	2.11E-64	2.44E-62	135.8338584
C6orf205	1.048673535	-0.035424169	18.85669531	2.11E-64	2.44E-62	135.8324897
NMU	3.102455257	-1.79920749	18.85639274	2.12E-64	2.44E-62	135.8287219
RGS7	2.037388765	-1.187401588	18.8228576	3.22E-64	3.70E-62	135.4112529
GNA13	-1.950725861	-0.157217589	-18.81829899	3.41E-64	3.89E-62	135.3545226
PTPRR	1.947115969	-0.498389557	18.81713806	3.46E-64	3.92E-62	135.3400759
BCL11A	1.183090962	-0.38637102	18.81008907	3.78E-64	4.26E-62	135.2523642
CEBPD	-2.151975145	-0.207692414	-18.80936941	3.82E-64	4.27E-62	135.24341
LOC348801	1.754750624	-0.872474715	18.80291732	4.14E-64	4.61E-62	135.163136
TUSC2	1.018359051	-0.184882434	18.80133595	4.22E-64	4.67E-62	135.1434626
RASGEF1A	0.862885187	-0.399463412	18.79993739	4.29E-64	4.71E-62	135.1260641
FRMD4A	1.05377323	-0.575473103	18.79981294	4.30E-64	4.71E-62	135.1245158
STK3	-1.719577376	-0.217746566	-18.79746411	4.43E-64	4.82E-62	135.0952965
SGIP1	1.616509793	-0.972118705	18.78257373	5.34E-64	5.78E-62	134.9100886
SCN8A	2.055928053	-0.932123893	18.78071309	5.46E-64	5.88E-62	134.8869492
TM7SF2	1.565038486	-0.649772167	18.77341844	5.98E-64	6.41E-62	134.796238
ATF7IP2	1.376970359	-0.695161059	18.76373094	6.75E-64	7.19E-62	134.6757887
C3orf62	-0.907248052	0.237336673	-18.7606791	7.02E-64	7.43E-62	134.6378479
ARF5	1.076397154	-0.020185167	18.74696379	8.33E-64	8.77E-62	134.4673627
PARVG	-1.512187505	0.023123375	-18.73248573	9.98E-64	1.05E-61	134.2874405
RUNDC1	1.431331723	-0.371378185	18.72924481	1.04E-63	1.08E-61	134.2471711
UNKL	-0.607626209	-0.071818011	-18.72654494	1.08E-63	1.11E-61	134.2136261
RAB13	-2.313188999	0.670827084	-18.72514113	1.09E-63	1.13E-61	134.1961849
DPP6	0.929932658	-0.376853969	18.72357094	1.12E-63	1.14E-61	134.176677
LCA5	-1.466737723	0.142425136	-18.72049702	1.16E-63	1.18E-61	134.1384885
FLJ43582	1.03814133	-0.492238826	18.70540216	1.40E-63	1.42E-61	133.9509891
ATP2B2	1.935396307	-0.904784962	18.70316175	1.44E-63	1.45E-61	133.9231643
HAP1	-1.543635398	0.418478987	-18.70289139	1.44E-63	1.45E-61	133.9198067
C1orf78	-2.274972793	0.480481768	-18.7022592	1.46E-63	1.46E-61	133.9119553
HCLS1	-2.264000793	-0.267461015	-18.69402046	1.61E-63	1.60E-61	133.8096453
RELL1	-2.545104061	-0.255300815	-18.67874809	1.95E-63	1.93E-61	133.6200295
HISPPD1	0.992155632	-0.186850833	18.67292016	2.10E-63	2.07E-61	133.5476859
CACNG1	1.338553603	-0.378361405	18.66547739	2.30E-63	2.26E-61	133.4553074
SCG2	2.139253047	-1.175986769	18.65797946	2.53E-63	2.47E-61	133.3622568
PRMT8	2.21004961	-0.812439508	18.6552667	2.62E-63	2.54E-61	133.328594
TMEM14B	1.359388533	-0.60151936	18.65061116	2.77E-63	2.68E-61	133.2708268
GALNT13	1.112804644	-0.069201448	18.6468573	2.91E-63	2.79E-61	133.2242515
LAT2	-3.036162189	-1.073552965	-18.62859297	3.65E-63	3.49E-61	132.9976844
LOC643037	1.204988537	-0.680381508	18.62084654	4.02E-63	3.82E-61	132.901613
HRBL	-0.760684946	0.291301086	-18.58844198	6.02E-63	5.68E-61	132.4998755
MED12	-0.785117904	0.203612605	-18.58827193	6.04E-63	5.68E-61	132.497768
TAC1	3.80931875	-2.606146379	18.58549787	6.25E-63	5.85E-61	132.4633874
C6orf105	2.648001964	-1.409687645	18.57878058	6.79E-63	6.34E-61	132.380143
LL22NC03.75B3.6	1.60413803	-0.023561351	18.5759944	7.03E-63	6.53E-61	132.3456181
MGC2889	2.177865048	-0.934217073	18.56775454	7.80E-63	7.20E-61	132.2435241
BCAT2	-1.235807659	0.312153371	-18.56007051	8.58E-63	7.89E-61	132.1483307
C1QTNF5	-1.226250528	0.406679509	-18.53864465	1.12E-62	1.02E-60	131.8829671
RP5.1022P6.2	2.137348243	-0.726313611	18.53627857	1.15E-62	1.05E-60	131.8536689
VASP	-1.819583833	0.208487334	-18.53554724	1.16E-62	1.06E-60	131.8446135
RHEBL1	1.014097985	-0.16842724	18.53177839	1.22E-62	1.10E-60	131.7979488
BEX5	2.732880647	-1.59619179	18.5292081	1.26E-62	1.13E-60	131.7661261
FXYD5	-2.160893118	0.392366788	-18.51865547	1.44E-62	1.28E-60	131.63549
C20orf54	-3.161224941	0.292221349	-18.50943803	1.61E-62	1.43E-60	131.5214035
STAT3	-1.603278143	-0.068713185	-18.50672301	1.67E-62	1.48E-60	131.4878026
DUSP4	3.465781724	-1.734835079	18.49725674	1.88E-62	1.65E-60	131.3706619
HSD17B1	-1.29401561	0.063213436	-18.48536089	2.17E-62	1.91E-60	131.2234853
DDA1	1.39519643	-0.211701759	18.48224823	2.26E-62	1.98E-60	131.1849804
C1QTNF4	1.842162235	-0.847267275	18.48049099	2.31E-62	2.01E-60	131.1632436
CASP4	-2.195706342	-0.094628611	-18.4792184	2.35E-62	2.03E-60	131.1475022
GSTA4	1.346913402	-0.636917506	18.47468607	2.48E-62	2.14E-60	131.0914426
LRRC32	-2.620264547	0.350211524	-18.45390466	3.22E-62	2.76E-60	130.8344604
ADCYAP1	3.663421285	-2.081112705	18.41647211	5.12E-62	4.38E-60	130.3718201
OAZ1	0.516155949	0.170400452	18.41529179	5.20E-62	4.42E-60	130.3572373
ELMOD1	1.429553072	-0.663270839	18.41397563	5.28E-62	4.48E-60	130.3409767
SLC30A3	0.786154734	-0.066199991	18.41360435	5.31E-62	4.48E-60	130.3363897
PMS2L3	1.00160126	-0.313849106	18.39369512	6.79E-62	5.71E-60	130.0904697
TNIP2	-2.055246859	-0.028339336	-18.37625131	8.44E-62	7.06E-60	129.8750779
SLC26A6	-1.195904961	0.265293789	-18.37378333	8.70E-62	7.25E-60	129.8446096
COPS7A	1.389988831	-0.436286037	18.37036083	9.08E-62	7.53E-60	129.8023596
RAB6C	1.213173252	-0.558008102	18.36824136	9.32E-62	7.70E-60	129.7761966
GMPR	-1.264224715	0.212450304	-18.3541478	1.11E-61	9.13E-60	129.6022505
SLA	-2.334774747	-0.412478046	-18.35375592	1.12E-61	9.14E-60	129.5974144
MRPS18A	0.816079956	-0.207139871	18.34752513	1.21E-61	9.83E-60	129.5205278
B9D1	1.205750705	-0.160818511	18.34426297	1.26E-61	1.02E-59	129.480277
RNF11	1.293089664	-0.54753549	18.34023501	1.32E-61	1.07E-59	129.4305807
SERPINB6	-1.330148895	0.205262986	-18.33405068	1.42E-61	1.15E-59	129.3542867
hCG_38480	0.765866808	-0.431631321	18.33323808	1.44E-61	1.15E-59	129.3442626
PHF19	-1.718039027	0.285596628	-18.31929905	1.71E-61	1.37E-59	129.1723372
SUB1	1.59006483	-0.65026191	18.29941127	2.19E-61	1.74E-59	128.9271177
CD163	-3.850268571	-0.807687945	-18.29172389	2.41E-61	1.91E-59	128.832356
KCNF1	1.405915754	-0.455604588	18.28817657	2.52E-61	1.99E-59	128.7886331
CIDEC	1.026609946	-0.06796436	18.28185614	2.72E-61	2.14E-59	128.7107373
DGCR6	-1.667403085	0.488430281	-18.27405195	3.00E-61	2.35E-59	128.614568
RASL10A	1.850862059	-0.7332605	18.27255965	3.05E-61	2.38E-59	128.5961804
CD302	-1.866201976	0.059985863	-18.26805303	3.23E-61	2.51E-59	128.5406544
RAB7L1	-1.014179966	-0.115044667	-18.25928928	3.60E-61	2.78E-59	128.4326901
SERTAD3	-1.541681039	0.256591508	-18.24830617	4.12E-61	3.17E-59	128.2974103
SLC25A5	1.027368193	-0.113299163	18.24803862	4.14E-61	3.17E-59	128.2941152
LILRA2	-2.735399109	-0.601702153	-18.24450786	4.32E-61	3.30E-59	128.250633
ST6GAL2	0.539454376	-0.113414273	18.24335398	4.38E-61	3.34E-59	128.2364231
CFH	-3.554078317	-0.103023901	-18.24288963	4.41E-61	3.34E-59	128.2307049
CFHR1	-1.466201814	-0.066464635	-18.23517522	4.85E-61	3.67E-59	128.1357129
BOC	-1.222067988	0.229461855	-18.22913546	5.23E-61	3.93E-59	128.0613516
LOC441046	1.138709823	-0.450217989	18.21108175	6.54E-61	4.89E-59	127.839127
RGS4	1.145728144	-0.610307807	18.21100593	6.54E-61	4.89E-59	127.8381939
KIF9	0.693263073	0.104860695	18.204027	7.14E-61	5.31E-59	127.7523106
CASP1	-1.360778015	0.052171537	-18.17052762	1.08E-60	8.00E-59	127.3402263
SLC39A10	1.897737825	-0.839653242	18.16920091	1.10E-60	8.10E-59	127.3239116
ATP5C1	0.859527291	-0.453271415	18.16221085	1.20E-60	8.77E-59	127.2379613
RANBP1	0.887033785	0.253857173	18.16217639	1.20E-60	8.77E-59	127.2375376
LTBP3	-1.216209955	0.534231251	-18.15851555	1.25E-60	9.14E-59	127.1925282
FNDC5	0.947926321	-0.015793441	18.15790167	1.26E-60	9.18E-59	127.184981
STX1A	0.519867626	0.025383125	18.1568023	1.28E-60	9.27E-59	127.1714653
NFE2L2	-1.802474882	-0.137715104	-18.15496816	1.31E-60	9.45E-59	127.1489169
FGF13	0.54084459	-0.106699285	18.14264636	1.52E-60	1.10E-58	126.9974571
SST	4.215139988	-2.957392004	18.13323031	1.71E-60	1.23E-58	126.8817395
CASC3	-1.273742999	0.311130753	-18.13190979	1.74E-60	1.24E-58	126.8655128
FAM40B	1.542408615	-0.173630845	18.13074787	1.77E-60	1.26E-58	126.8512354
IL18	-3.551826743	-0.777497243	-18.1289729	1.81E-60	1.28E-58	126.8294254
ATP6V0E1	-1.487936652	-0.036756883	-18.12654173	1.86E-60	1.31E-58	126.7995539
FLJ11506	1.244944074	-0.093430401	18.11816171	2.06E-60	1.45E-58	126.6966
PJA2	1.035890584	-0.383711142	18.11157395	2.24E-60	1.57E-58	126.6156771
MAFF	-2.084847328	-0.564996604	-18.11139162	2.24E-60	1.57E-58	126.6134376
SPG3A	2.189515708	-1.083248526	18.10811182	2.34E-60	1.63E-58	126.5731531
GSDMDC1	-1.797757487	0.402592421	-18.09862247	2.63E-60	1.82E-58	126.4566142
MGLL	0.759204149	-0.000209141	18.09464197	2.76E-60	1.91E-58	126.407736
C1orf132	-0.815363335	-0.015464539	-18.09037165	2.91E-60	2.00E-58	126.3553033
MOV10L1	-0.987238349	0.606517672	-18.07415905	3.55E-60	2.44E-58	126.1562791
PHF10	-1.376993178	0.067446898	-18.07377697	3.57E-60	2.44E-58	126.1515894
MAST3	1.36509697	-0.486457204	18.07320379	3.59E-60	2.45E-58	126.1445544
DLX1	1.386511512	-0.475444846	18.07261451	3.62E-60	2.46E-58	126.1373218
FLJ20699	-1.86552917	-0.287508166	-18.06941551	3.77E-60	2.55E-58	126.09806
LOC339524	1.476910527	-0.583383464	18.0689611	3.79E-60	2.55E-58	126.0924831
NHEJ1	-0.801040753	-0.001520362	-18.06867049	3.80E-60	2.55E-58	126.0889166
NYD.SP21	-2.565181677	-0.095026582	-18.06510557	3.97E-60	2.66E-58	126.0451673
ELK1	-1.72751374	0.129046779	-18.0588076	4.29E-60	2.87E-58	125.9678852
GABRD	2.025904905	-0.836415859	18.05780648	4.35E-60	2.89E-58	125.9556014
SQRDL	-2.020673194	-0.103456628	-18.04994146	4.79E-60	3.17E-58	125.8591057
LOC647509	2.271647454	-0.862039085	18.04853802	4.87E-60	3.22E-58	125.8418885
NEK2	1.261811436	-0.608446489	18.04385224	5.16E-60	3.40E-58	125.7844077
MGC20983	-1.420421975	0.097587044	-18.02165173	6.79E-60	4.46E-58	125.5121454
NXPH1	2.192669365	-0.465702982	18.01662727	7.22E-60	4.72E-58	125.4505432
PHF21A	-0.911125164	0.240160888	-18.01618853	7.26E-60	4.73E-58	125.4451644
CASP6	-1.79428843	-0.017706478	-18.01440504	7.42E-60	4.82E-58	125.4232997
SH3TC1	-0.931393904	0.140316357	-18.01246682	7.60E-60	4.92E-58	125.399539
STXBP4	-0.903988348	0.273203971	-18.01201543	7.65E-60	4.93E-58	125.3940055
MICA	-1.763494054	1.888263374	-18.01031634	7.81E-60	5.02E-58	125.3731773
TRIM5	-0.940868133	0.686006129	-18.00930587	7.91E-60	5.07E-58	125.3607908
NEK10	1.191723371	-0.59047704	18.0089177	7.94E-60	5.08E-58	125.3560326
ST8SIA5	0.702953277	0.399174891	18.00742134	8.09E-60	5.15E-58	125.3376906
